,pl_name,hostname,pl_rade,st_mass,sy_pnum
1229,K2-148 simulated 1,K2-148 simulated 260,1.7378762946692337,0.65,6
1230,K2-148 simulated 2,K2-148 simulated 260,1.2177893863842186,0.65,6
1231,Kepler-196 simulated 261,Kepler-196 simulated 261,1.9,0.85,6
1232,Kepler-196 simulated 261,Kepler-196 simulated 261,2.24,0.85,6
1233,Kepler-196 simulated 261,Kepler-196 simulated 261,2.661,0.85,6
1234,Kepler-196 simulated 0,Kepler-196 simulated 261,2.734799550048486,0.85,6
1235,Kepler-196 simulated 1,Kepler-196 simulated 261,2.4696559386058055,0.85,6
1236,Kepler-196 simulated 2,Kepler-196 simulated 261,2.2544408693079894,0.85,6
1237,Kepler-196 simulated 262,Kepler-196 simulated 262,1.9,0.85,6
1238,Kepler-196 simulated 262,Kepler-196 simulated 262,2.24,0.85,6
1239,Kepler-196 simulated 262,Kepler-196 simulated 262,2.661,0.85,6
1240,Kepler-196 simulated 0,Kepler-196 simulated 262,2.6853902396753693,0.85,6
1241,Kepler-196 simulated 1,Kepler-196 simulated 262,2.955184014660363,0.85,6
1242,Kepler-196 simulated 2,Kepler-196 simulated 262,4.0,0.85,6
1243,TOI-561 simulated 263,TOI-561 simulated 263,1.425,0.81,6
1244,TOI-561 simulated 263,TOI-561 simulated 263,2.91,0.81,6
1245,TOI-561 simulated 263,TOI-561 simulated 263,2.82,0.81,6
1246,TOI-561 simulated 263,TOI-561 simulated 263,2.55,0.81,6
1247,TOI-561 simulated 0,TOI-561 simulated 263,2.928155395464377,0.81,6
1248,TOI-561 simulated 1,TOI-561 simulated 263,3.920793293474658,0.81,6
1249,Kepler-10 simulated 264,Kepler-10 simulated 264,1.47,0.91,6
1250,Kepler-10 simulated 264,Kepler-10 simulated 264,2.355,0.91,6
1251,Kepler-10 simulated 264,Kepler-10 simulated 264,3.61,0.91,6
1252,Kepler-10 simulated 0,Kepler-10 simulated 264,4.0,0.91,6
1253,Kepler-10 simulated 1,Kepler-10 simulated 264,3.7952655967967006,0.91,6
1254,Kepler-10 simulated 2,Kepler-10 simulated 264,3.545052249157145,0.91,6
1255,Kepler-20 simulated 265,Kepler-20 simulated 265,1.773,0.93,6
1256,Kepler-20 simulated 265,Kepler-20 simulated 265,2.894,0.93,6
1257,Kepler-20 simulated 265,Kepler-20 simulated 265,2.606,0.93,6
1258,Kepler-20 simulated 265,Kepler-20 simulated 265,0.821,0.93,6
1259,Kepler-20 simulated 265,Kepler-20 simulated 265,0.952,0.93,6
1260,Kepler-20 simulated 0,Kepler-20 simulated 265,1.4514348533796533,0.93,6
1261,K2-219 simulated 266,K2-219 simulated 266,1.348,1.02,6
1262,K2-219 simulated 266,K2-219 simulated 266,1.438,1.02,6
1263,K2-219 simulated 266,K2-219 simulated 266,2.576,1.02,6
1264,K2-219 simulated 0,K2-219 simulated 266,3.463129189442744,1.02,6
1265,K2-219 simulated 1,K2-219 simulated 266,2.136054518080492,1.02,6
1266,K2-219 simulated 2,K2-219 simulated 266,3.751609565560093,1.02,6
1267,Kepler-42 simulated 267,Kepler-42 simulated 267,0.78,0.13,6
1268,Kepler-42 simulated 267,Kepler-42 simulated 267,0.73,0.13,6
1269,Kepler-42 simulated 267,Kepler-42 simulated 267,0.57,0.13,6
1270,Kepler-42 simulated 0,Kepler-42 simulated 267,1.1178780623983267,0.13,6
1271,Kepler-42 simulated 1,Kepler-42 simulated 267,1.471932934916652,0.13,6
1272,Kepler-42 simulated 2,Kepler-42 simulated 267,1.9074029473969414,0.13,6
1273,Kepler-342 simulated 268,Kepler-342 simulated 268,2.25,1.26,6
1274,Kepler-342 simulated 268,Kepler-342 simulated 268,1.96,1.26,6
1275,Kepler-342 simulated 268,Kepler-342 simulated 268,2.49,1.26,6
1276,Kepler-342 simulated 268,Kepler-342 simulated 268,0.88,1.26,6
1277,Kepler-342 simulated 0,Kepler-342 simulated 268,1.693636218883486,1.26,6
1278,Kepler-342 simulated 1,Kepler-342 simulated 268,2.4783942958952783,1.26,6
1279,Kepler-157 simulated 269,Kepler-157 simulated 269,1.32,1.02,6
1280,Kepler-157 simulated 269,Kepler-157 simulated 269,2.24,1.02,6
1281,Kepler-157 simulated 269,Kepler-157 simulated 269,1.46,1.02,6
1282,Kepler-157 simulated 0,Kepler-157 simulated 269,2.5192843241184426,1.02,6
1283,Kepler-157 simulated 1,Kepler-157 simulated 269,2.036132256876148,1.02,6
1284,Kepler-157 simulated 2,Kepler-157 simulated 269,2.5289576777593954,1.02,6
1285,Kepler-403 simulated 270,Kepler-403 simulated 270,1.25,1.3,6
1286,Kepler-403 simulated 270,Kepler-403 simulated 270,1.75,1.3,6
1287,Kepler-403 simulated 270,Kepler-403 simulated 270,1.42,1.3,6
1288,Kepler-403 simulated 0,Kepler-403 simulated 270,1.0024628157401758,1.3,6
1289,Kepler-403 simulated 1,Kepler-403 simulated 270,0.6413302652723789,1.3,6
1290,Kepler-403 simulated 2,Kepler-403 simulated 270,1.6446911551236925,1.3,6
1291,HD 3167 simulated 271,HD 3167 simulated 271,1.67,0.84,6
1292,HD 3167 simulated 271,HD 3167 simulated 271,3.0,0.84,6
1293,HD 3167 simulated 271,HD 3167 simulated 271,1.92,0.84,6
1294,HD 3167 simulated 271,HD 3167 simulated 271,2.83,0.84,6
1295,HD 3167 simulated 0,HD 3167 simulated 271,1.6685852884705634,0.84,6
1296,HD 3167 simulated 1,HD 3167 simulated 271,1.5127189330325461,0.84,6
1297,K2-384 simulated 272,K2-384 simulated 272,1.076,0.33,6
1298,K2-384 simulated 272,K2-384 simulated 272,1.191,0.33,6
1299,K2-384 simulated 272,K2-384 simulated 272,1.392,0.33,6
1300,K2-384 simulated 272,K2-384 simulated 272,1.345,0.33,6
1301,K2-384 simulated 272,K2-384 simulated 272,2.222,0.33,6
1302,K2-384 simulated 0,K2-384 simulated 272,2.5061308055414964,0.33,6
1303,Kepler-401 simulated 273,Kepler-401 simulated 273,1.71,1.17,6
1304,Kepler-401 simulated 273,Kepler-401 simulated 273,2.15,1.17,6
1305,Kepler-401 simulated 273,Kepler-401 simulated 273,2.27,1.17,6
1306,Kepler-401 simulated 0,Kepler-401 simulated 273,0.7942304762938176,1.17,6
1307,Kepler-401 simulated 1,Kepler-401 simulated 273,1.2070105614127573,1.17,6
1308,Kepler-401 simulated 2,Kepler-401 simulated 273,0.8346603926250264,1.17,6
1309,Kepler-107 simulated 274,Kepler-107 simulated 274,1.536,1.24,6
1310,Kepler-107 simulated 274,Kepler-107 simulated 274,1.597,1.24,6
1311,Kepler-107 simulated 274,Kepler-107 simulated 274,0.86,1.24,6
1312,Kepler-107 simulated 274,Kepler-107 simulated 274,2.903,1.24,6
1313,Kepler-107 simulated 0,Kepler-107 simulated 274,3.740356952310305,1.24,6
1314,Kepler-107 simulated 1,Kepler-107 simulated 274,4.0,1.24,6
1315,Kepler-154 simulated 275,Kepler-154 simulated 275,2.26,0.98,6
1316,Kepler-154 simulated 275,Kepler-154 simulated 275,2.95,0.98,6
1317,Kepler-154 simulated 275,Kepler-154 simulated 275,3.84,0.98,6
1318,Kepler-154 simulated 275,Kepler-154 simulated 275,1.5,0.98,6
1319,Kepler-154 simulated 275,Kepler-154 simulated 275,1.5,0.98,6
1320,Kepler-154 simulated 0,Kepler-154 simulated 275,1.5085386774544074,0.98,6
1321,K2-352 simulated 276,K2-352 simulated 276,1.37,0.98,6
1322,K2-352 simulated 276,K2-352 simulated 276,1.92,0.98,6
1323,K2-352 simulated 276,K2-352 simulated 276,2.23,0.98,6
1324,K2-352 simulated 0,K2-352 simulated 276,1.6709121961931737,0.98,6
1325,K2-352 simulated 1,K2-352 simulated 276,3.042497984530327,0.98,6
1326,K2-352 simulated 2,K2-352 simulated 276,4.0,0.98,6
1327,Kepler-299 simulated 277,Kepler-299 simulated 277,1.32,0.95,6
1328,Kepler-299 simulated 277,Kepler-299 simulated 277,2.65,0.95,6
1329,Kepler-299 simulated 277,Kepler-299 simulated 277,1.86,0.95,6
1330,Kepler-299 simulated 277,Kepler-299 simulated 277,1.87,0.95,6
1331,Kepler-299 simulated 0,Kepler-299 simulated 277,1.7740002823127559,0.95,6
1332,Kepler-299 simulated 1,Kepler-299 simulated 277,1.8010156902106602,0.95,6
1333,Kepler-235 simulated 278,Kepler-235 simulated 278,2.23,0.58,6
1334,Kepler-235 simulated 278,Kepler-235 simulated 278,1.28,0.58,6
1335,Kepler-235 simulated 278,Kepler-235 simulated 278,2.05,0.58,6
1336,Kepler-235 simulated 278,Kepler-235 simulated 278,2.22,0.58,6
1337,Kepler-235 simulated 0,Kepler-235 simulated 278,3.0164896642922825,0.58,6
1338,Kepler-235 simulated 1,Kepler-235 simulated 278,3.7967421940223716,0.58,6
1339,Kepler-758 simulated 279,Kepler-758 simulated 279,2.48,1.16,6
1340,Kepler-758 simulated 279,Kepler-758 simulated 279,1.69,1.16,6
1341,Kepler-758 simulated 279,Kepler-758 simulated 279,2.12,1.16,6
1342,Kepler-758 simulated 279,Kepler-758 simulated 279,1.53,1.16,6
1343,Kepler-758 simulated 0,Kepler-758 simulated 279,2.865384397060803,1.16,6
1344,Kepler-758 simulated 1,Kepler-758 simulated 279,3.252773837421745,1.16,6
1345,HD 20781 simulated 280,HD 20781 simulated 280,1.21,0.7,6
1346,HD 20781 simulated 280,HD 20781 simulated 280,2.17,0.7,6
1347,HD 20781 simulated 280,HD 20781 simulated 280,3.25,0.7,6
1348,HD 20781 simulated 280,HD 20781 simulated 280,3.83,0.7,6
1349,HD 20781 simulated 0,HD 20781 simulated 280,4.0,0.7,6
1350,HD 20781 simulated 1,HD 20781 simulated 280,4.0,0.7,6
1351,TOI-1136 simulated 281,TOI-1136 simulated 281,1.9,1.02,6
1352,TOI-1136 simulated 281,TOI-1136 simulated 281,2.879,1.02,6
1353,TOI-1136 simulated 281,TOI-1136 simulated 281,2.639,1.02,6
1354,TOI-1136 simulated 281,TOI-1136 simulated 281,3.736,1.02,6
1355,TOI-1136 simulated 281,TOI-1136 simulated 281,2.53,1.02,6
1356,TOI-1136 simulated 0,TOI-1136 simulated 281,1.656905791455083,1.02,6
1357,K2-165 simulated 282,K2-165 simulated 282,1.274,0.83,6
1358,K2-165 simulated 282,K2-165 simulated 282,1.554,0.83,6
1359,K2-165 simulated 282,K2-165 simulated 282,2.648,0.83,6
1360,K2-165 simulated 0,K2-165 simulated 282,1.2833737574457034,0.83,6
1361,K2-165 simulated 1,K2-165 simulated 282,0.9560170288110281,0.83,6
1362,K2-165 simulated 2,K2-165 simulated 282,0.6462810662780081,0.83,6
1363,Kepler-132 simulated 283,Kepler-132 simulated 283,1.21,0.98,6
1364,Kepler-132 simulated 283,Kepler-132 simulated 283,1.28,0.98,6
1365,Kepler-132 simulated 283,Kepler-132 simulated 283,1.55,0.98,6
1366,Kepler-132 simulated 283,Kepler-132 simulated 283,1.18,0.98,6
1367,Kepler-132 simulated 0,Kepler-132 simulated 283,1.145741455106188,0.98,6
1368,Kepler-132 simulated 1,Kepler-132 simulated 283,1.300189792992326,0.98,6
1369,Kepler-310 simulated 284,Kepler-310 simulated 284,1.19,0.91,6
1370,Kepler-310 simulated 284,Kepler-310 simulated 284,3.38,0.91,6
1371,Kepler-310 simulated 284,Kepler-310 simulated 284,2.47,0.91,6
1372,Kepler-310 simulated 0,Kepler-310 simulated 284,3.3540073439530493,0.91,6
1373,Kepler-310 simulated 1,Kepler-310 simulated 284,2.957770227461435,0.91,6
1374,Kepler-310 simulated 2,Kepler-310 simulated 284,4.0,0.91,6
1375,LHS 1678 simulated 285,LHS 1678 simulated 285,0.685,0.35,6
1376,LHS 1678 simulated 285,LHS 1678 simulated 285,0.941,0.35,6
1377,LHS 1678 simulated 285,LHS 1678 simulated 285,0.981,0.35,6
1378,LHS 1678 simulated 0,LHS 1678 simulated 285,1.16589643090341,0.35,6
1379,LHS 1678 simulated 1,LHS 1678 simulated 285,0.9997737595336987,0.35,6
1380,LHS 1678 simulated 2,LHS 1678 simulated 285,1.055433404352125,0.35,6
1381,Kepler-401 simulated 286,Kepler-401 simulated 286,1.71,1.17,6
1382,Kepler-401 simulated 286,Kepler-401 simulated 286,2.15,1.17,6
1383,Kepler-401 simulated 286,Kepler-401 simulated 286,2.27,1.17,6
1384,Kepler-401 simulated 0,Kepler-401 simulated 286,4.0,1.17,6
1385,Kepler-401 simulated 1,Kepler-401 simulated 286,3.05695045512755,1.17,6
1386,Kepler-401 simulated 2,Kepler-401 simulated 286,3.827901185147464,1.17,6
1387,K2-16 simulated 287,K2-16 simulated 287,1.03,0.68,6
1388,K2-16 simulated 287,K2-16 simulated 287,2.02,0.68,6
1389,K2-16 simulated 287,K2-16 simulated 287,2.54,0.68,6
1390,K2-16 simulated 0,K2-16 simulated 287,1.9332026080231268,0.68,6
1391,K2-16 simulated 1,K2-16 simulated 287,2.893967834445533,0.68,6
1392,K2-16 simulated 2,K2-16 simulated 287,1.8623444696194367,0.68,6
1393,Kepler-245 simulated 288,Kepler-245 simulated 288,2.57,0.86,6
1394,Kepler-245 simulated 288,Kepler-245 simulated 288,2.18,0.86,6
1395,Kepler-245 simulated 288,Kepler-245 simulated 288,3.03,0.86,6
1396,Kepler-245 simulated 288,Kepler-245 simulated 288,1.75,0.86,6
1397,Kepler-245 simulated 0,Kepler-245 simulated 288,1.030340943413391,0.86,6
1398,Kepler-245 simulated 1,Kepler-245 simulated 288,0.7215829304572198,0.86,6
1399,K2-384 simulated 289,K2-384 simulated 289,1.076,0.33,6
1400,K2-384 simulated 289,K2-384 simulated 289,1.191,0.33,6
1401,K2-384 simulated 289,K2-384 simulated 289,1.392,0.33,6
1402,K2-384 simulated 289,K2-384 simulated 289,1.345,0.33,6
1403,K2-384 simulated 289,K2-384 simulated 289,2.222,0.33,6
1404,K2-384 simulated 0,K2-384 simulated 289,2.000456692275529,0.33,6
1405,Kepler-298 simulated 290,Kepler-298 simulated 290,1.96,0.66,6
1406,Kepler-298 simulated 290,Kepler-298 simulated 290,1.93,0.66,6
1407,Kepler-298 simulated 290,Kepler-298 simulated 290,2.5,0.66,6
1408,Kepler-298 simulated 0,Kepler-298 simulated 290,3.6683266502170713,0.66,6
1409,Kepler-298 simulated 1,Kepler-298 simulated 290,4.0,0.66,6
1410,Kepler-298 simulated 2,Kepler-298 simulated 290,2.973862244227182,0.66,6
1411,Kepler-54 simulated 291,Kepler-54 simulated 291,2.1,0.51,6
1412,Kepler-54 simulated 291,Kepler-54 simulated 291,1.23,0.51,6
1413,Kepler-54 simulated 291,Kepler-54 simulated 291,1.53,0.51,6
1414,Kepler-54 simulated 0,Kepler-54 simulated 291,1.048510075225708,0.51,6
1415,Kepler-54 simulated 1,Kepler-54 simulated 291,0.6123798160393047,0.51,6
1416,Kepler-54 simulated 2,Kepler-54 simulated 291,1.2489917201776355,0.51,6
1417,K2-165 simulated 292,K2-165 simulated 292,1.274,0.83,6
1418,K2-165 simulated 292,K2-165 simulated 292,1.554,0.83,6
1419,K2-165 simulated 292,K2-165 simulated 292,2.648,0.83,6
1420,K2-165 simulated 0,K2-165 simulated 292,2.9972734865819706,0.83,6
1421,K2-165 simulated 1,K2-165 simulated 292,4.0,0.83,6
1422,K2-165 simulated 2,K2-165 simulated 292,3.2933101582572553,0.83,6
1423,Kepler-446 simulated 293,Kepler-446 simulated 293,1.5,0.22,6
1424,Kepler-446 simulated 293,Kepler-446 simulated 293,1.11,0.22,6
1425,Kepler-446 simulated 293,Kepler-446 simulated 293,1.35,0.22,6
1426,Kepler-446 simulated 0,Kepler-446 simulated 293,1.1749144121477453,0.22,6
1427,Kepler-446 simulated 1,Kepler-446 simulated 293,4.0,0.22,6
1428,Kepler-446 simulated 2,Kepler-446 simulated 293,4.0,0.22,6
1429,Kepler-416 simulated 294,Kepler-416 simulated 294,2.48,1.0,6
1430,Kepler-416 simulated 294,Kepler-416 simulated 294,2.45,1.0,6
1431,Kepler-416 simulated 294,Kepler-416 simulated 294,1.61,1.0,6
1432,Kepler-416 simulated 0,Kepler-416 simulated 294,1.3861664151298227,1.0,6
1433,Kepler-416 simulated 1,Kepler-416 simulated 294,1.301504865939993,1.0,6
1434,Kepler-416 simulated 2,Kepler-416 simulated 294,1.3096458283273633,1.0,6
1435,TOI-1246 simulated 295,TOI-1246 simulated 295,3.01,0.89,6
1436,TOI-1246 simulated 295,TOI-1246 simulated 295,2.451,0.89,6
1437,TOI-1246 simulated 295,TOI-1246 simulated 295,3.431,0.89,6
1438,TOI-1246 simulated 295,TOI-1246 simulated 295,3.514,0.89,6
1439,TOI-1246 simulated 0,TOI-1246 simulated 295,4.0,0.89,6
1440,TOI-1246 simulated 1,TOI-1246 simulated 295,4.0,0.89,6
1441,Kepler-310 simulated 296,Kepler-310 simulated 296,1.19,0.91,6
1442,Kepler-310 simulated 296,Kepler-310 simulated 296,3.38,0.91,6
1443,Kepler-310 simulated 296,Kepler-310 simulated 296,2.47,0.91,6
1444,Kepler-310 simulated 0,Kepler-310 simulated 296,1.954774680237772,0.91,6
1445,Kepler-310 simulated 1,Kepler-310 simulated 296,2.2443429476810146,0.91,6
1446,Kepler-310 simulated 2,Kepler-310 simulated 296,0.9930896192836927,0.91,6
1447,Kepler-301 simulated 297,Kepler-301 simulated 297,1.35,0.98,6
1448,Kepler-301 simulated 297,Kepler-301 simulated 297,1.35,0.98,6
1449,Kepler-301 simulated 297,Kepler-301 simulated 297,1.75,0.98,6
1450,Kepler-301 simulated 0,Kepler-301 simulated 297,0.9505021448757569,0.98,6
1451,Kepler-301 simulated 1,Kepler-301 simulated 297,1.6462125025514638,0.98,6
1452,Kepler-301 simulated 2,Kepler-301 simulated 297,0.9406268672363459,0.98,6
1453,Kepler-374 simulated 298,Kepler-374 simulated 298,1.03,1.04,6
1454,Kepler-374 simulated 298,Kepler-374 simulated 298,1.1,1.04,6
1455,Kepler-374 simulated 298,Kepler-374 simulated 298,1.31,1.04,6
1456,Kepler-374 simulated 0,Kepler-374 simulated 298,1.1386036100807766,1.04,6
1457,Kepler-374 simulated 1,Kepler-374 simulated 298,1.109345799396208,1.04,6
1458,Kepler-374 simulated 2,Kepler-374 simulated 298,0.7055483293207121,1.04,6
1459,Kepler-130 simulated 299,Kepler-130 simulated 299,1.02,0.93,6
1460,Kepler-130 simulated 299,Kepler-130 simulated 299,2.9,0.93,6
1461,Kepler-130 simulated 299,Kepler-130 simulated 299,1.64,0.93,6
1462,Kepler-130 simulated 0,Kepler-130 simulated 299,1.3345243168418575,0.93,6
1463,Kepler-130 simulated 1,Kepler-130 simulated 299,0.8606064236898039,0.93,6
1464,Kepler-130 simulated 2,Kepler-130 simulated 299,0.5,0.93,6
1465,Kepler-352 simulated 300,Kepler-352 simulated 300,0.86,0.83,6
1466,Kepler-352 simulated 300,Kepler-352 simulated 300,1.24,0.83,6
1467,Kepler-352 simulated 300,Kepler-352 simulated 300,0.806,0.83,6
1468,Kepler-352 simulated 0,Kepler-352 simulated 300,0.7391516315926219,0.83,6
1469,Kepler-352 simulated 1,Kepler-352 simulated 300,0.6226013994870815,0.83,6
1470,Kepler-352 simulated 2,Kepler-352 simulated 300,0.5,0.83,6
1471,Kepler-381 simulated 301,Kepler-381 simulated 301,0.99,1.2,6
1472,Kepler-381 simulated 301,Kepler-381 simulated 301,1.12,1.2,6
1473,Kepler-381 simulated 301,Kepler-381 simulated 301,1.067,1.2,6
1474,Kepler-381 simulated 0,Kepler-381 simulated 301,0.94837517141393,1.2,6
1475,Kepler-381 simulated 1,Kepler-381 simulated 301,2.0466999069711647,1.2,6
1476,Kepler-381 simulated 2,Kepler-381 simulated 301,1.753924563476522,1.2,6
1477,Kepler-331 simulated 302,Kepler-331 simulated 302,1.82,0.65,6
1478,Kepler-331 simulated 302,Kepler-331 simulated 302,1.84,0.65,6
1479,Kepler-331 simulated 302,Kepler-331 simulated 302,1.64,0.65,6
1480,Kepler-331 simulated 0,Kepler-331 simulated 302,0.8052655947113366,0.65,6
1481,Kepler-331 simulated 1,Kepler-331 simulated 302,1.664945295949172,0.65,6
1482,Kepler-331 simulated 2,Kepler-331 simulated 302,1.9115432127144445,0.65,6
1483,HD 22946 simulated 303,HD 22946 simulated 303,2.607,1.1,6
1484,HD 22946 simulated 303,HD 22946 simulated 303,1.362,1.1,6
1485,HD 22946 simulated 303,HD 22946 simulated 303,2.328,1.1,6
1486,HD 22946 simulated 0,HD 22946 simulated 303,1.813366897359211,1.1,6
1487,HD 22946 simulated 1,HD 22946 simulated 303,1.6692015266213764,1.1,6
1488,HD 22946 simulated 2,HD 22946 simulated 303,3.3169123594546623,1.1,6
1489,Kepler-54 simulated 304,Kepler-54 simulated 304,2.1,0.51,6
1490,Kepler-54 simulated 304,Kepler-54 simulated 304,1.23,0.51,6
1491,Kepler-54 simulated 304,Kepler-54 simulated 304,1.53,0.51,6
1492,Kepler-54 simulated 0,Kepler-54 simulated 304,0.617490004813607,0.51,6
1493,Kepler-54 simulated 1,Kepler-54 simulated 304,0.8643630243436049,0.51,6
1494,Kepler-54 simulated 2,Kepler-54 simulated 304,0.8296487656439365,0.51,6
1495,HD 42813 simulated 305,HD 42813 simulated 305,3.426,0.89,6
1496,HD 42813 simulated 305,HD 42813 simulated 305,1.58,0.89,6
1497,HD 42813 simulated 305,HD 42813 simulated 305,1.37,0.89,6
1498,HD 42813 simulated 0,HD 42813 simulated 305,2.0380758211577743,0.89,6
1499,HD 42813 simulated 1,HD 42813 simulated 305,2.76453921151323,0.89,6
1500,HD 42813 simulated 2,HD 42813 simulated 305,0.8645953031241933,0.89,6
1501,TOI-1260 simulated 306,TOI-1260 simulated 306,2.41,0.68,6
1502,TOI-1260 simulated 306,TOI-1260 simulated 306,2.76,0.68,6
1503,TOI-1260 simulated 306,TOI-1260 simulated 306,3.12,0.68,6
1504,TOI-1260 simulated 0,TOI-1260 simulated 306,3.1964030064334445,0.68,6
1505,TOI-1260 simulated 1,TOI-1260 simulated 306,2.128209068669726,0.68,6
1506,TOI-1260 simulated 2,TOI-1260 simulated 306,1.8245800086847712,0.68,6
1507,Kepler-92 simulated 307,Kepler-92 simulated 307,3.51,1.21,6
1508,Kepler-92 simulated 307,Kepler-92 simulated 307,2.6,1.21,6
1509,Kepler-92 simulated 307,Kepler-92 simulated 307,2.067,1.21,6
1510,Kepler-92 simulated 0,Kepler-92 simulated 307,2.633712016306013,1.21,6
1511,Kepler-92 simulated 1,Kepler-92 simulated 307,4.0,1.21,6
1512,Kepler-92 simulated 2,Kepler-92 simulated 307,4.0,1.21,6
1513,GJ 367 simulated 308,GJ 367 simulated 308,0.699,0.46,6
1514,GJ 367 simulated 308,GJ 367 simulated 308,1.86,0.46,6
1515,GJ 367 simulated 308,GJ 367 simulated 308,2.33,0.46,6
1516,GJ 367 simulated 0,GJ 367 simulated 308,3.0203556467802386,0.46,6
1517,GJ 367 simulated 1,GJ 367 simulated 308,4.0,0.46,6
1518,GJ 367 simulated 2,GJ 367 simulated 308,3.414109558686216,0.46,6
1519,Kepler-217 simulated 309,Kepler-217 simulated 309,2.23,1.14,6
1520,Kepler-217 simulated 309,Kepler-217 simulated 309,1.85,1.14,6
1521,Kepler-217 simulated 309,Kepler-217 simulated 309,1.32,1.14,6
1522,Kepler-217 simulated 0,Kepler-217 simulated 309,1.201493229258936,1.14,6
1523,Kepler-217 simulated 1,Kepler-217 simulated 309,0.8521323150991809,1.14,6
1524,Kepler-217 simulated 2,Kepler-217 simulated 309,1.3808205155244886,1.14,6
1525,Kepler-298 simulated 310,Kepler-298 simulated 310,1.96,0.66,6
1526,Kepler-298 simulated 310,Kepler-298 simulated 310,1.93,0.66,6
1527,Kepler-298 simulated 310,Kepler-298 simulated 310,2.5,0.66,6
1528,Kepler-298 simulated 0,Kepler-298 simulated 310,2.4064615367862556,0.66,6
1529,Kepler-298 simulated 1,Kepler-298 simulated 310,2.500005794033292,0.66,6
1530,Kepler-298 simulated 2,Kepler-298 simulated 310,2.050536481385516,0.66,6
1531,Kepler-52 simulated 311,Kepler-52 simulated 311,2.1,0.54,6
1532,Kepler-52 simulated 311,Kepler-52 simulated 311,1.84,0.54,6
1533,Kepler-52 simulated 311,Kepler-52 simulated 311,1.95,0.54,6
1534,Kepler-52 simulated 0,Kepler-52 simulated 311,3.1786059806721934,0.54,6
1535,Kepler-52 simulated 1,Kepler-52 simulated 311,2.943750148618776,0.54,6
1536,Kepler-52 simulated 2,Kepler-52 simulated 311,2.779280818798473,0.54,6
1537,K2-183 simulated 312,K2-183 simulated 312,1.1,0.94,6
1538,K2-183 simulated 312,K2-183 simulated 312,2.3,0.94,6
1539,K2-183 simulated 312,K2-183 simulated 312,2.3,0.94,6
1540,K2-183 simulated 0,K2-183 simulated 312,2.739905287019105,0.94,6
1541,K2-183 simulated 1,K2-183 simulated 312,3.5837862117381074,0.94,6
1542,K2-183 simulated 2,K2-183 simulated 312,4.0,0.94,6
1543,TOI-1136 simulated 313,TOI-1136 simulated 313,1.9,1.02,6
1544,TOI-1136 simulated 313,TOI-1136 simulated 313,2.879,1.02,6
1545,TOI-1136 simulated 313,TOI-1136 simulated 313,2.639,1.02,6
1546,TOI-1136 simulated 313,TOI-1136 simulated 313,3.736,1.02,6
1547,TOI-1136 simulated 313,TOI-1136 simulated 313,2.53,1.02,6
1548,TOI-1136 simulated 0,TOI-1136 simulated 313,3.6016025998760255,1.02,6
1549,Kepler-968 simulated 314,Kepler-968 simulated 314,2.58,0.76,6
1550,Kepler-968 simulated 314,Kepler-968 simulated 314,2.0,0.76,6
1551,Kepler-968 simulated 314,Kepler-968 simulated 314,1.69,0.76,6
1552,Kepler-968 simulated 0,Kepler-968 simulated 314,3.5482719695595097,0.76,6
1553,Kepler-968 simulated 1,Kepler-968 simulated 314,3.3595884817479607,0.76,6
1554,Kepler-968 simulated 2,Kepler-968 simulated 314,4.0,0.76,6
1555,Kepler-272 simulated 315,Kepler-272 simulated 315,1.43,0.86,6
1556,Kepler-272 simulated 315,Kepler-272 simulated 315,1.79,0.86,6
1557,Kepler-272 simulated 315,Kepler-272 simulated 315,2.25,0.86,6
1558,Kepler-272 simulated 0,Kepler-272 simulated 315,2.9966670618341382,0.86,6
1559,Kepler-272 simulated 1,Kepler-272 simulated 315,2.5509894300249973,0.86,6
1560,Kepler-272 simulated 2,Kepler-272 simulated 315,3.8751253082182777,0.86,6
1561,Kepler-350 simulated 316,Kepler-350 simulated 316,1.85,1.0,6
1562,Kepler-350 simulated 316,Kepler-350 simulated 316,3.1,1.0,6
1563,Kepler-350 simulated 316,Kepler-350 simulated 316,2.8,1.0,6
1564,Kepler-350 simulated 0,Kepler-350 simulated 316,3.564931603323798,1.0,6
1565,Kepler-350 simulated 1,Kepler-350 simulated 316,4.0,1.0,6
1566,Kepler-350 simulated 2,Kepler-350 simulated 316,3.415830108949995,1.0,6
1567,Kepler-215 simulated 317,Kepler-215 simulated 317,1.62,0.94,6
1568,Kepler-215 simulated 317,Kepler-215 simulated 317,1.77,0.94,6
1569,Kepler-215 simulated 317,Kepler-215 simulated 317,2.39,0.94,6
1570,Kepler-215 simulated 317,Kepler-215 simulated 317,1.75,0.94,6
1571,Kepler-215 simulated 0,Kepler-215 simulated 317,1.6509753245353809,0.94,6
1572,Kepler-215 simulated 1,Kepler-215 simulated 317,1.2622609888009055,0.94,6
1573,Kepler-104 simulated 318,Kepler-104 simulated 318,3.1,0.82,6
1574,Kepler-104 simulated 318,Kepler-104 simulated 318,3.13,0.82,6
1575,Kepler-104 simulated 318,Kepler-104 simulated 318,3.58,0.82,6
1576,Kepler-104 simulated 0,Kepler-104 simulated 318,2.4025193191844902,0.82,6
1577,Kepler-104 simulated 1,Kepler-104 simulated 318,3.5844061300919323,0.82,6
